Face #,Member Initials,Age,Gender,Race/Ethnicity,Visible Emotion,Head Pose,Detection Confidence,Joy Likelihood,Sorrow Likelihood,Anger Likelihood,Surprise Likelihood,# Faces Detected,Bounding Box Ok? (Y/N),Roll Angle,Pan Angle,Tilt Angle,Score
35,SS,Adult,F,White,Neutral,Front Facing,0.96,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.4592,3.9204,-5.8959,8
36,SS,Elderly,M,White,Neutral,Left Facing,0.93,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.3518,-30.82,-2.4256,9
37,SS,Elderly,M,White,Neutral,Front Facing,0.96,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.9459,3.7928,-9.1756,9
38,SS,Elderly,F,White,Happy,Right Facing,0.93,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,1,Y,-0.9419,14.5918,2.6718,8
39,SS,Elderly,M,White,Neutral,Left Facing,0.97,POSSIBLE,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.1974,-19.7981,0.774,8
40,SS,Child,M,White,Happy,Front Facing,0.95,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.0566,4.2602,-7.0545,8
41,SS,Adult,M,White,Neutral,Front Facing,0.96,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.4118,5.4762,-7.7321,7
42,SS,Adult,M,White,Happy,Right Facing,0.96,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.338,11.9391,-2.1843,9
43,SS,Adult,M,White,Neutral,Right Facing,0.96,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,0.5045,10.1928,-4.8431,8
44,SS,Adult,F,White,Neutral,Left Facing,0.94,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-1.6594,-21.8985,-6.3041,10
45,SS,Adult,F,White,Happy,Front Facing,0.94,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.1874,-2.5177,-11.7987,8
46,SS,Adult,M,White,Neutral,Front Facing,0.97,LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-0.6565,-7.382,3.1888,7
47,KV (Karan Vyas),Teen,M,White,Happy,Right Facing,0.93,VERY_LIKELY,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,1,Y,4.0314,-8.8371,0.8472,8
48,KV,Adult,M,White,Neutral,Front Facing,0.94,UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,UNLIKELY,1,Y,1.2439,-1.9625,1.1946,8
49,KV,Young Adult,M,White,Angry,Front Facing,0.93,VERY_UNLIKELY,UNLIKELY,LIKELY,VERY_UNLIKELY,1,Y,3.4932,-0.9382,0.5938,7
50,KV,Young Adult,M,White,Neutral,Left Facing,0.97,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,VERY_UNLIKELY,1,Y,-2.1948,9.8372,0.9325,7
